165	Monster Truck Rally	13	INTV	10	12	1990	10.23076923076923
166	Monster in my Pocket	8	Konami	5	11	1992	5.25
167	NARC	2	Acclaim	7	49	1989	6.9
168	NES Open Tournament Golf	2	Nintendo	4	23	1991	3.9166666666666665
169	Nightmare on Elm St	7	LJN	7	25	1989	7.0
170	Ninja Gaiden	6	Tecmo	3	114	1989	3.026086956521739
171	Ninja Gaiden II: The Dark Sword of Chaos	6	Tecmo	3	74	1990	3.04
172	Ninja Gaiden III: The Ancient Ship of Doom	6	Tecmo	5	53	1991	5.018518518518518
173	 Nintendo World Cup	11	Technos	6	43	1990	6.113636363636363
174	Operation Wolf	8	Taito	7	25	1989	7.038461538461538
175	P.O.W.	5	SNK	4	12	1989	4.076923076923077
176	Paperboy	4	Tengen	7	32	1988	6.909090909090909
177	Pinball	7	Nintendo	6	47	1983	6.020833333333333
178	Pinball Quest	5	Jaleco	4	7	1990	4.125
179	Pirates	6	Ultra	8	18	1991	7.894736842105263
180	Platoon	13	Sunsoft	12	26	1988	12.037037037037036
181	Play Action Football	9	Nintendo	8	14	1990	8.066666666666666
182	Popeye	2	Nintendo	3	59	1986	2.9833333333333334
183	Predator	13	Twentieth Century Fox	12	26	1988	12.037037037037036
184	Punch-Out!!	1	Nintendo	3	80	1987	2.9753086419753085
185	Q*bert	9	Ultra	6	35	1989	6.083333333333333
186	Qix	8	Taito	7	10	1990	7.090909090909091
187	Quattro Adventure	10	Codemasters	10	14	1993	10.0
188	Quattro Sports (Aladdin version)	13	Codemasters	13	9	1991	13.0
189	R.C. Pro-Am	5	Rare	5	70	1987	5.0
190	R.C. Pro-Am 2	4	Rare	5	20	1992	4.9523809523809526
191	RBI Baseball	11	Tengen	4	38	1987	4.17948717948718
192	RBI Baseball 2	3	Tengen	5	18	1990	4.894736842105263
193	Rad Racer	5	Square	5	53	1987	5.0
194	Rally Bike	4	Romstar	9	8	1990	8.444444444444445
195	Rambo	13	Acclaim	12	33	1988	12.029411764705882
196	Remote Control	13	Hi Tech	11	14	1989	11.133333333333333
197	Renegade	9	Taito	6	34	1987	6.085714285714285
